A514,A514,A514
A515,A515,A515
A519,A519,A519
A520,A520,A669
A521,A521,A522
A522,A522,A522
A523,A523,A523
A527,A527,A500
A528,A528,A530
A529,A529,A539
A530,A530,A530
A539,A539,A539
A540,A540,A541
A541,A541,A541
A542,A542,A699
A543,A543,A543
A544,A544,A544
A545,A545,A545
A546,A546,A546
A548,A548,A548
A549,A549,A549
A55,A55,A749
A560,A560,A560
A561,A561,A561
A562,A562,A562
A563,A563,A563
A564,A564,A564
A568,A568,A568
A57,A57,A57
A58,A58,A58
A590,A590,A590
A598,A598,A598
A599,A599,A599
A600,A600,A600
A601,A601,A601
A609,A609,A609
A6300,A630,A630
A6301,A630,A630
A6302,A630,A630
A6303,A630,A630
A6304,A630,A630
A6305,A630,A630
A6306,A630,A630
A6307,A630,A630
A6309,A630,A630
A638,A638,A638
A64,A64,A64
A65,A65,A65
A660,A660,A660
A661,A661,A661
A662,A662,A662
A663,A663,A667
A664,A664,A664
A665,A665,A665
A666,A666,A666
A667,A667,A667
A668,A668,A668
A669,A669,A669
A670,A670,A670
A671,A671,A670
A672,A672,A670
A673,A673,A670
A679,A679,A679
A680,A680,A871
A681,A681,A681
A689,A689,A689
A690,A690,A880
A691,A691,A691
A692,A692,A692
A698,A698,A698
A699,A699,A698
A70,A70,A70
A710,A710,A710
A711,A711,A710
A719,A719,A719
A740,A740,A740
A748,A748,A568
A749,A749,A749
A750,A750,A750
A751,A751,A751
A752,A752,A750
A753,A753,A750
A759,A759,A759
A770,A770,A770
A771,A771,A770
A772,A772,A770
A773,A773,A770
A778,A778,A778
A779,A779,A779
A78,A78,A972
A790,A790,A980
A791,A791,A791
A798,A798,A798
A799,A799,A799
A800,A800,A800
A801,A801,A801
A802,A802,A802
A803,A803,A809
A804,A804,A804
A809,A809,A809
A810,A810,A810
A811,A811,A811
A812,A812,A812
A818,A818,A818
A819,A819,A819
A820,A820,A820
A821,A821,A821
A829,A829,A829
A830,A830,A830
A831,A831,A832
A832,A832,A832
A833,A833,A833
A834,A834,A834
A835,A835,A835
A836,A836,A836
A838,A838,A838
A839,A839,A838
A840,A840,A841
A841,A841,A841
A848,A848,A848
A849,A849,A848
A850,A850,A850
A851,A851,A851
A852,A852,A852
A858,A858,B069
A86,A86,A86
A870,A870,A870
A871,A871,A871
A872,A872,A872
A878,A878,A878
A879,A879,A86
A880,A880,A880
A881,A881,B150
A888,A888,B088
A89,A89,A819
A920,A920,A920
A921,A921,A921
A922,A922,B172
A923,A923,A923
A924,A924,A924
A928,A928,A928
A929,A929,A929
A930,A930,A930
A931,A931,A931
A932,A932,A932
A938,A938,A94
A94,A94,A94
A950,A950,A950
A951,A951,A951
A959,A959,A959
A960,A960,A960
A961,A961,A961
A962,A962,A962
A968,A968,A968
A969,A969,B210
A970,A970,A970
A971,A971,A971
A972,A972,A972
A979,A979,A979
A980,A980,A980
A981,A981,A981
A982,A982,B222
A983,A983,B227
A984,A984,A984
A985,A985,B231
A988,A988,B232
A99,A99,A99
B000,B000,B000
B001,B001,B001
B002,B002,B252
B003,B003,B003
B004,B004,B004
B005,B005,B005
B007,B007,B007
B008,B008,B008
B009,B009,B009
B010,B010,B010
B011,B011,A86
B012,B012,A413
B018,B018,B019
B019,B019,B019
B020,B020,B020
B021,B021,B021
B022,B022,B022
B023,B023,B023
B027,B027,B027
B028,B028,B028
B029,B029,B331
B03,B03,B332
B04,B04,B333
B050,B050,B050
B051,B051,B051
B052,B052,B052
B053,B053,B053
B054,B054,B054
B058,B058,B058
B059,B059,B058
B060,B060,B060
B068,B068,B068
B069,B069,B069
B07,B07,B07
B080,B080,B355
B081,B081,B081
B082,B082,B082
B083,B083,B359
B084,B084,B360
B085,B085,B085
B088,B088,B088
B09,B09,B088
B150,B150,B150
B159,B159,B150
B160,B160,B161
B161,B161,B161
B162,B162,B162
B169,B169,B161
B170,B170,B377
B171,B171,B171
B172,B172,B172
B178,B178,B376
B179,B179,B179
B180,B180,B180
B181,B181,B180
B182,B182,B171
B188,B188,B188
B189,B189,B189
B190,B190,B190
B199,B199,B199
B20,B200,B393
B20,B201,B393
B20,B202,B393
B20,B203,B393
B20,B204,B393
B20,B205,B393
B20,B206,B393
B20,B207,B393
B20,B208,B393
B20,B209,B393
B21,B210,B213
B21,B211,B213
B21,B212,B213
B21,B213,B213
B21,B217,B213
B21,B218,B213
B21,B219,B213
B22,B220,B238
B22,B221,B238
B22,B222,B238
B22,B227,B238
B230,B230,B230
B238,B231,B238
B238,B232,B238
B238,B238,B238
B24,B24,B402
B250,B250,B250
B251,B251,B251
B252,B252,B252
B258,B258,B258
B259,B259,B653
B260,B260,B260
B261,B261,B261
B262,B262,B261
B263,B263,B263
B268,B268,B268
B269,B269,B269
B270,B270,B270
B271,B271,B271
B278,B278,B278
B279,B279,B279
B300,B300,B300
B301,B301,B301
B302,B302,B302
B303,B303,B303
B308,B308,B308
B309,B309,B309
B330,B330,B330
B331,B331,B331
B332,B332,B332
B333,B333,B333
B334,B334,B334
B338,B338,B338
B340,B340,B340
B341,B341,B341
B342,B342,B342
B343,B343,B343
B344,B344,B344
B348,B348,B348
B349,B349,A084
B350,B350,B350
B351,B351,B351
B352,B352,B352
B353,B353,B353
B354,B354,B483
B355,B355,B353
B356,B356,B485
B358,B358,B358
B359,B359,B359
B360,B360,B360
B361,B361,B361
B362,B362,B362
B363,B363,B362
B368,B368,B368
B369,B369,B49
B370,B370,B370
B371,B371,B371
B372,B372,B530
B373,B373,B531
